engine,engine_version,sample_id,source,content_type,style,font,level,cer,wer,cer_strict,exact,ms
tesseract,5.3.4,syn0000,synthetic,sentence,nastaliq,noto-nastaliq,clean,0.1388888888888889,0.5714285714285714,0.1388888888888889,False,43.8893229999735
tesseract,5.3.4,syn0001,synthetic,sentence,nastaliq,noto-nastaliq,mild,0.1388888888888889,0.5714285714285714,0.1388888888888889,False,51.85947999996188
tesseract,5.3.4,syn0002,synthetic,sentence,nastaliq,noto-nastaliq,heavy,0.5555555555555556,0.8571428571428571,0.5555555555555556,False,47.777599000028204
tesseract,5.3.4,syn0003,synthetic,sentence,nastaliq,gulzar,clean,0.19444444444444445,0.5714285714285714,0.19444444444444445,False,34.15119900000718
tesseract,5.3.4,syn0004,synthetic,sentence,nastaliq,gulzar,mild,0.19444444444444445,0.5714285714285714,0.19444444444444445,False,39.02606200000491
tesseract,5.3.4,syn0005,synthetic,sentence,nastaliq,gulzar,heavy,1.0,1.0,1.0,False,28.81287500002827
tesseract,5.3.4,syn0006,synthetic,sentence,naskh,lateef,clean,0.0,0.0,0.0,True,43.56741000003694
tesseract,5.3.4,syn0007,synthetic,sentence,naskh,lateef,mild,1.0,1.0,1.0,False,54.665787000033106
tesseract,5.3.4,syn0008,synthetic,sentence,naskh,lateef,heavy,1.0,1.0,1.0,False,32.09558600002538
tesseract,5.3.4,syn0009,synthetic,sentence,naskh,noto-naskh,clean,0.0,0.0,0.0,True,44.40321100003075
tesseract,5.3.4,syn0010,synthetic,sentence,naskh,noto-naskh,mild,0.0,0.0,0.0,True,49.7339169999691
tesseract,5.3.4,syn0011,synthetic,sentence,naskh,noto-naskh,heavy,1.0,1.0,1.0,False,31.535713999971904
tesseract,5.3.4,syn0012,synthetic,sentence,naskh,scheherazade,clean,0.0,0.0,0.0,True,47.52880199998799
tesseract,5.3.4,syn0013,synthetic,sentence,naskh,scheherazade,mild,0.027777777777777776,0.14285714285714285,0.027777777777777776,False,52.55975700004001
tesseract,5.3.4,syn0014,synthetic,sentence,naskh,scheherazade,heavy,1.0,1.0,1.0,False,38.6780200000203
tesseract,5.3.4,syn0015,synthetic,sentence,nastaliq,noto-nastaliq,clean,0.2972972972972973,0.875,0.2972972972972973,False,36.611058000005414
tesseract,5.3.4,syn0016,synthetic,sentence,nastaliq,noto-nastaliq,mild,0.2972972972972973,1.0,0.2972972972972973,False,42.9629019999993
tesseract,5.3.4,syn0017,synthetic,sentence,nastaliq,noto-nastaliq,heavy,0.6486486486486487,0.875,0.6486486486486487,False,62.62011500001563
tesseract,5.3.4,syn0018,synthetic,sentence,nastaliq,gulzar,clean,0.4864864864864865,1.0,0.4864864864864865,False,42.514550000021245
tesseract,5.3.4,syn0019,synthetic,sentence,nastaliq,gulzar,mild,0.35135135135135137,0.875,0.35135135135135137,False,45.258209999985866
tesseract,5.3.4,syn0020,synthetic,sentence,nastaliq,gulzar,heavy,1.0,1.0,1.0,False,29.89540699996951
tesseract,5.3.4,syn0021,synthetic,sentence,naskh,lateef,clean,0.0,0.0,0.0,True,41.81492000003573
tesseract,5.3.4,syn0022,synthetic,sentence,naskh,lateef,mild,0.0,0.0,0.0,True,46.3046479999889
tesseract,5.3.4,syn0023,synthetic,sentence,naskh,lateef,heavy,0.02702702702702703,0.125,0.02702702702702703,False,46.87817100000302
tesseract,5.3.4,syn0024,synthetic,sentence,naskh,noto-naskh,clean,0.0,0.0,0.0,True,50.482822999981636
tesseract,5.3.4,syn0025,synthetic,sentence,naskh,noto-naskh,mild,0.0,0.0,0.0,True,49.780378999969344
tesseract,5.3.4,syn0026,synthetic,sentence,naskh,noto-naskh,heavy,1.0,1.0,1.0,False,36.11324799999238
tesseract,5.3.4,syn0027,synthetic,sentence,naskh,scheherazade,clean,0.02702702702702703,0.25,0.02702702702702703,False,43.804555999997774
tesseract,5.3.4,syn0028,synthetic,sentence,naskh,scheherazade,mild,0.0,0.0,0.0,True,51.64154799996368
tesseract,5.3.4,syn0029,synthetic,sentence,naskh,scheherazade,heavy,1.0,1.0,1.0,False,36.21875400000363
tesseract,5.3.4,syn0030,synthetic,sentence,nastaliq,noto-nastaliq,clean,0.20454545454545456,0.6363636363636364,0.20454545454545456,False,38.319594000029156
tesseract,5.3.4,syn0031,synthetic,sentence,nastaliq,noto-nastaliq,mild,0.5909090909090909,0.9090909090909091,0.5909090909090909,False,85.55728900000759
tesseract,5.3.4,syn0032,synthetic,sentence,nastaliq,noto-nastaliq,heavy,1.0,1.0,1.0,False,47.11918200001719
tesseract,5.3.4,syn0033,synthetic,sentence,nastaliq,gulzar,clean,0.4090909090909091,0.9090909090909091,0.4090909090909091,False,39.743100999999115
tesseract,5.3.4,syn0034,synthetic,sentence,nastaliq,gulzar,mild,0.38636363636363635,0.8181818181818182,0.38636363636363635,False,46.24414199997773
tesseract,5.3.4,syn0035,synthetic,sentence,nastaliq,gulzar,heavy,1.0,1.0,1.0,False,34.696381000003385
tesseract,5.3.4,syn0036,synthetic,sentence,naskh,lateef,clean,0.0,0.0,0.0,True,43.16144200004146
tesseract,5.3.4,syn0037,synthetic,sentence,naskh,lateef,mild,0.4090909090909091,0.6363636363636364,0.4090909090909091,False,55.51848599998266
tesseract,5.3.4,syn0038,synthetic,sentence,naskh,lateef,heavy,1.0,1.0,1.0,False,31.769773999997142
tesseract,5.3.4,syn0039,synthetic,sentence,naskh,noto-naskh,clean,0.0,0.0,0.0,True,50.779384999998456
tesseract,5.3.4,syn0040,synthetic,sentence,naskh,noto-naskh,mild,0.0,0.0,0.0,True,55.68146300004173
tesseract,5.3.4,syn0041,synthetic,sentence,naskh,noto-naskh,heavy,1.0,1.0,1.0,False,30.781525999998394
tesseract,5.3.4,syn0042,synthetic,sentence,naskh,scheherazade,clean,0.0,0.0,0.0,True,51.52214799994681
tesseract,5.3.4,syn0043,synthetic,sentence,naskh,scheherazade,mild,0.0,0.0,0.0,True,72.14738200002557
tesseract,5.3.4,syn0044,synthetic,sentence,naskh,scheherazade,heavy,0.5681818181818182,0.8181818181818182,0.5681818181818182,False,86.8062440000017
tesseract,5.3.4,syn0045,synthetic,sentence,nastaliq,noto-nastaliq,clean,0.2,0.8571428571428571,0.2,False,39.33229400001892
tesseract,5.3.4,syn0046,synthetic,sentence,nastaliq,noto-nastaliq,mild,0.2,0.7142857142857143,0.2,False,40.98990599999297
tesseract,5.3.4,syn0047,synthetic,sentence,nastaliq,noto-nastaliq,heavy,0.34285714285714286,1.0,0.34285714285714286,False,40.860802999986845
tesseract,5.3.4,syn0048,synthetic,sentence,nastaliq,gulzar,clean,0.11428571428571428,0.42857142857142855,0.11428571428571428,False,35.764738000011675
tesseract,5.3.4,syn0049,synthetic,sentence,nastaliq,gulzar,mild,0.45714285714285713,0.8571428571428571,0.45714285714285713,False,52.25712200001453
tesseract,5.3.4,syn0050,synthetic,sentence,nastaliq,gulzar,heavy,0.6571428571428571,1.0,0.6857142857142857,False,42.813574999968296
tesseract,5.3.4,syn0051,synthetic,sentence,naskh,lateef,clean,0.0,0.0,0.0,True,42.65456000001677
tesseract,5.3.4,syn0052,synthetic,sentence,naskh,lateef,mild,0.0,0.0,0.0,True,47.788246000038725
tesseract,5.3.4,syn0053,synthetic,sentence,naskh,lateef,heavy,1.0,1.0,1.0,False,35.40042899999207
tesseract,5.3.4,syn0054,synthetic,sentence,naskh,noto-naskh,clean,0.0,0.0,0.0,True,46.90474900002073
